"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Feb-2024","EQ","1,387.00","1,404.70","1,385.00","1,387.65","1,391.00","1,392.65","1,394.15","1,425.00","852.00","11,61,705","1,61,95,88,366.55","67,440"
"01-Feb-2024","EQ","1,359.70","1,394.85","1,352.05","1,351.00","1,383.90","1,387.65","1,378.15","1,425.00","852.00","27,84,507","3,83,74,78,689.50","1,64,672"
"31-Jan-2024","EQ","1,317.10","1,352.90","1,312.00","1,317.10","1,352.00","1,351.00","1,344.29","1,425.00","852.00","17,23,379","2,31,67,12,691.55","80,556"
"30-Jan-2024","EQ","1,345.00","1,352.00","1,314.15","1,336.85","1,318.00","1,317.10","1,332.59","1,425.00","852.00","19,08,926","2,54,38,07,908.10","1,43,698"
"29-Jan-2024","EQ","1,365.00","1,365.00","1,325.30","1,369.65","1,341.55","1,336.85","1,336.72","1,425.00","852.00","24,80,508","3,31,57,47,531.80","1,02,961"
"25-Jan-2024","EQ","1,413.35","1,413.45","1,353.50","1,417.35","1,374.80","1,369.65","1,374.73","1,425.00","852.00","18,01,468","2,47,65,30,482.90","1,28,656"
"24-Jan-2024","EQ","1,409.00","1,423.05","1,394.85","1,409.00","1,413.60","1,417.35","1,411.00","1,425.00","852.00","18,08,713","2,55,20,89,769.20","1,48,473"
"23-Jan-2024","EQ","1,385.00","1,425.00","1,368.70","1,316.25","1,407.95","1,409.00","1,404.44","1,425.00","852.00","75,56,815","10,61,30,76,841.15","3,60,841"
"20-Jan-2024","EQ","1,335.65","1,337.95","1,307.05","1,327.95","1,313.00","1,316.25","1,322.97","1,340.00","852.00","3,53,704","46,79,40,814.90","28,901"
"19-Jan-2024","EQ","1,330.95","1,330.95","1,316.60","1,322.95","1,327.00","1,327.95","1,324.97","1,340.00","852.00","11,35,846","1,50,49,66,854.05","96,557"
"18-Jan-2024","EQ","1,285.05","1,327.20","1,267.90","1,294.00","1,320.00","1,322.95","1,306.90","1,340.00","852.00","17,23,297","2,25,21,83,372.65","1,01,400"
"17-Jan-2024","EQ","1,299.35","1,312.90","1,282.10","1,302.35","1,292.00","1,294.00","1,292.84","1,340.00","852.00","20,73,596","2,68,08,33,769.45","67,478"
"16-Jan-2024","EQ","1,313.15","1,314.40","1,298.25","1,313.15","1,301.45","1,302.35","1,306.24","1,340.00","852.00","10,30,845","1,34,65,28,368.60","46,638"
"15-Jan-2024","EQ","1,316.00","1,327.75","1,306.60","1,308.00","1,314.80","1,313.15","1,316.74","1,340.00","852.00","7,62,036","1,00,34,02,582.35","53,990"
"12-Jan-2024","EQ","1,324.20","1,325.65","1,300.40","1,325.65","1,309.70","1,308.00","1,308.79","1,340.00","852.00","20,51,301","2,68,47,28,251.90","1,27,646"
"11-Jan-2024","EQ","1,339.85","1,340.00","1,323.05","1,329.20","1,326.80","1,325.65","1,332.30","1,340.00","852.00","10,97,204","1,46,18,01,827.95","52,725"
"10-Jan-2024","EQ","1,296.00","1,331.50","1,294.30","1,289.35","1,328.70","1,329.20","1,317.03","1,331.50","852.00","36,25,567","4,77,49,68,018.20","1,62,840"
"09-Jan-2024","EQ","1,284.00","1,295.00","1,273.40","1,271.75","1,291.50","1,289.35","1,286.96","1,308.00","852.00","11,33,466","1,45,87,20,454.95","59,609"
"08-Jan-2024","EQ","1,296.65","1,297.00","1,266.20","1,286.90","1,271.00","1,271.75","1,275.81","1,308.00","852.00","7,40,848","94,51,81,291.95","64,071"
"05-Jan-2024","EQ","1,300.00","1,301.55","1,276.15","1,296.65","1,287.15","1,286.90","1,285.19","1,308.00","852.00","10,13,196","1,30,21,49,975.15","61,420"
"04-Jan-2024","EQ","1,304.00","1,308.00","1,286.65","1,300.15","1,299.50","1,296.65","1,298.63","1,308.00","852.00","12,48,143","1,62,08,73,637.55","75,334"
"03-Jan-2024","EQ","1,291.00","1,307.00","1,274.05","1,281.55","1,301.55","1,300.15","1,294.32","1,307.00","852.00","23,57,093","3,05,08,42,592.75","87,619"
"02-Jan-2024","EQ","1,255.10","1,285.00","1,252.10","1,251.00","1,282.85","1,281.55","1,274.44","1,285.00","852.00","25,89,484","3,30,01,33,753.25","1,20,479"
"01-Jan-2024","EQ","1,252.45","1,256.80","1,246.70","1,246.30","1,250.00","1,251.00","1,251.30","1,283.55","852.00","3,43,584","42,99,27,015.25","28,340"
"29-Dec-2023","EQ","1,264.00","1,267.60","1,242.05","1,260.80","1,250.00","1,246.30","1,250.48","1,283.55","852.00","17,94,218","2,24,36,41,263.10","66,140"
"28-Dec-2023","EQ","1,239.75","1,263.80","1,239.75","1,239.75","1,262.00","1,260.80","1,251.95","1,283.55","852.00","25,92,699","3,24,59,31,730.05","74,952"
"27-Dec-2023","EQ","1,247.00","1,250.35","1,236.70","1,244.95","1,239.55","1,239.75","1,241.58","1,283.55","852.00","25,28,609","3,13,94,76,963.70","69,321"
"26-Dec-2023","EQ","1,240.00","1,250.00","1,231.85","1,235.60","1,246.95","1,244.95","1,244.09","1,283.55","852.00","8,20,163","1,02,03,59,654.55","43,628"
